1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1142_8441	relevant
1159_7870	irrelevant
1159_7870	relevant
1159_7870	relevant
1159_7870	relevant
1159_7870	relevant
1304_2603	relevant
1335_4834	relevant
1340_4916	relevant
1743_2732	relevant
1778_8358	irrelevant
1871_2471	relevant
2048_5652	relevant
2048_5652	relevant
2220_5364	irrelevant
2220_5364	relevant
2220_5364	relevant
2220_5364	relevant
2220_5364	relevant
2255_4654	relevant
2255_4654	relevant
2336_7357	relevant
2378_2414	relevant
2378_2414	relevant
2408_7293	irrelevant
2432_7307	relevant
2433_7263	relevant
2433_7263	relevant
2433_7263	relevant
2433_7263	relevant
2433_7263	relevant
2433_7263	relevant
2437_7266	relevant
2444_7250	relevant
2444_7250	relevant
2452_2682	irrelevant
2611_6214	relevant
2727_1859	relevant
2727_1859	relevant
2727_1859	relevant
2739_6894	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2742_1948	relevant
2749_2357	irrelevant
2758_5919	relevant
2758_5919	relevant
2761_7238	irrelevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2767_2158	relevant
2779_2397	relevant
2782_1980	relevant
2782_1980	relevant
2782_1980	relevant
2787_1988	irrelevant
2787_1988	irrelevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2787_1988	relevant
2791_2357	relevant
2793_1948	irrelevant
2794_2398	relevant
2800_2399	relevant
2800_2399	relevant
2800_2399	relevant
2800_2399	relevant
2800_2399	relevant
2800_2399	relevant
2804_1982	relevant
2804_1982	relevant
2809_1982	relevant
2809_2350	relevant
2810_2342	relevant
2813_2344	relevant
2813_2344	relevant
2813_2344	relevant
2813_2344	relevant
2813_2344	relevant
2813_2344	relevant
2813_2344	relevant
2816_2339	irrelevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2816_2339	relevant
2820_2344	relevant
2820_2344	relevant
2820_2344	relevant
2824_2364	irrelevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
2824_2364	relevant
